PERMNO,date,TICKER,PRC,SHROUT
10104,2005-01-03,ORCL,13.41000,5224866
10104,2005-01-04,ORCL,13.06000,5224866
10104,2005-01-05,ORCL,13.10000,5224866
10104,2005-01-06,ORCL,13.22000,5224866
10104,2005-01-07,ORCL,13.33000,5224866
10104,2005-01-10,ORCL,13.19000,5224866
10104,2005-01-11,ORCL,13.20000,5224866
10104,2005-01-12,ORCL,13.48000,5224866
10104,2005-01-13,ORCL,13.48000,5224866
10104,2005-01-14,ORCL,13.63000,5224866
10104,2005-01-18,ORCL,13.78000,5224866
10104,2005-01-19,ORCL,13.47000,5224866
10104,2005-01-20,ORCL,13.28000,5224866
10104,2005-01-21,ORCL,13.31000,5224866
10104,2005-01-24,ORCL,13.24000,5224866
10104,2005-01-25,ORCL,13.59000,5224866
10104,2005-01-26,ORCL,13.62000,5224866
10104,2005-01-27,ORCL,13.97000,5224866
10104,2005-01-28,ORCL,13.68000,5224866
10104,2005-01-31,ORCL,13.77000,5224866
10104,2005-02-01,ORCL,13.65000,5224866
10104,2005-02-02,ORCL,13.56000,5224866
10104,2005-02-03,ORCL,13.34000,5224866
10104,2005-02-04,ORCL,13.66000,5224866
10104,2005-02-07,ORCL,13.55000,5224866
10104,2005-02-08,ORCL,13.47000,5224866
10104,2005-02-09,ORCL,13.17000,5224866
10104,2005-02-10,ORCL,13.14000,5224866
10104,2005-02-11,ORCL,13.35000,5224866
10104,2005-02-14,ORCL,13.31000,5224866
10104,2005-02-15,ORCL,13.29000,5224866
10104,2005-02-16,ORCL,13.33000,5224866
10104,2005-02-17,ORCL,12.96000,5224866
10104,2005-02-18,ORCL,12.94000,5224866
10104,2005-02-22,ORCL,12.66000,5224866
10104,2005-02-23,ORCL,12.95000,5224866
10104,2005-02-24,ORCL,13.01000,5224866
10104,2005-02-25,ORCL,13.13000,5224866
10104,2005-02-28,ORCL,12.95000,5136000
10104,2005-03-01,ORCL,13.15000,5136000
10104,2005-03-02,ORCL,13.05000,5136000
10104,2005-03-03,ORCL,13.09000,5136000
10104,2005-03-04,ORCL,13.28000,5136000
10104,2005-03-07,ORCL,13.60000,5136000
10104,2005-03-08,ORCL,13.62000,5136000
10104,2005-03-09,ORCL,13.35000,5136000
10104,2005-03-10,ORCL,13.26000,5136000
10104,2005-03-11,ORCL,13.09000,5136000
10104,2005-03-14,ORCL,13.15000,5136000
10104,2005-03-15,ORCL,13.15000,5136000
10104,2005-03-16,ORCL,13.02000,5136000
10104,2005-03-17,ORCL,13.16000,5136000
10104,2005-03-18,ORCL,12.54000,5136000
10104,2005-03-21,ORCL,12.65000,5141381
10104,2005-03-22,ORCL,12.49000,5141381
10104,2005-03-23,ORCL,12.51000,5141381
10104,2005-03-24,ORCL,12.40000,5141381
10104,2005-03-28,ORCL,12.43000,5141381
10104,2005-03-29,ORCL,12.28000,5141381
10104,2005-03-30,ORCL,12.48000,5141381
10104,2005-03-31,ORCL,12.48000,5141381
10104,2005-04-01,ORCL,12.53000,5141381
