gvkey,datadate,fyearq,fqtr,fyr,indfmt,consol,popsrc,datafmt,tic,conm,curcdq,datacqtr,datafqtr,atq,dlcq,dlttq,lseq,exchg,costat
001045,2005-03-31,2005,1,12,INDL,C,D,STD,AAL,AMERICAN AIRLINES GROUP INC,USD,2005Q1,2005Q1,29167.0000,879.0000,13375.0000,29167.0000,14,A
001045,2005-06-30,2005,2,12,INDL,C,D,STD,AAL,AMERICAN AIRLINES GROUP INC,USD,2005Q2,2005Q2,29494.0000,910.0000,13322.0000,29494.0000,14,A
001045,2005-09-30,2005,3,12,INDL,C,D,STD,AAL,AMERICAN AIRLINES GROUP INC,USD,2005Q3,2005Q3,29436.0000,960.0000,13231.0000,29436.0000,14,A
001045,2005-12-31,2005,4,12,INDL,C,D,STD,AAL,AMERICAN AIRLINES GROUP INC,USD,2005Q4,2005Q4,29495.0000,1239.0000,13456.0000,29495.0000,14,A
001045,2006-03-31,2006,1,12,INDL,C,D,STD,AAL,AMERICAN AIRLINES GROUP INC,USD,2006Q1,2006Q1,29918.0000,1185.0000,13165.0000,29918.0000,14,A
001045,2006-06-30,2006,2,12,INDL,C,D,STD,AAL,AMERICAN AIRLINES GROUP INC,USD,2006Q2,2006Q2,30752.0000,1152.0000,12968.0000,30752.0000,14,A
001045,2006-09-30,2006,3,12,INDL,C,D,STD,AAL,AMERICAN AIRLINES GROUP INC,USD,2006Q3,2006Q3,30128.0000,1506.0000,12407.0000,30128.0000,14,A
001045,2006-12-31,2006,4,12,INDL,C,D,STD,AAL,AMERICAN AIRLINES GROUP INC,USD,2006Q4,2006Q4,29145.0000,1349.0000,12041.0000,29145.0000,14,A
001045,2007-03-31,2007,1,12,INDL,C,D,STD,AAL,AMERICAN AIRLINES GROUP INC,USD,2007Q1,2007Q1,29884.0000,1289.0000,11471.0000,29884.0000,14,A
001045,2007-06-30,2007,2,12,INDL,C,D,STD,AAL,AMERICAN AIRLINES GROUP INC,USD,2007Q2,2007Q2,30410.0000,1318.0000,11242.0000,30410.0000,14,A
